geoid,by,pollutant,adjr,sigma,df.residual,formula
d05035,16,98,0.9942398226334839,3083.494814556454,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05037,16,98,0.9936044734199855,691.2541065294286,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05039,16,98,0.9750411614457646,901.1604419498046,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05041,16,98,0.9931473070876089,610.1467030884929,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05043,16,98,0.9936104351014914,1003.9136753895745,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05045,16,98,0.9967980007004356,3012.3393321168687,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05047,16,98,0.9619949594576076,3683.407642616398,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05049,16,98,0.9744690779835431,1165.3628378276417,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05051,16,98,0.9956497700079442,2478.360173062682,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05053,16,98,0.9742492385801692,2041.972380103221,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05055,16,98,0.9945424050032631,1233.0360630826783,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05057,16,98,0.9936327298594226,2009.0694189441829,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05059,16,98,0.9936607759397281,2538.6589933822447,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05061,16,98,0.9765130298218352,1048.3104082816503,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05063,16,98,0.9938521775968064,1533.6323532433487,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05065,16,98,0.9756518411888715,828.9796202182455,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05067,16,98,0.9936917505520275,1150.3225012118467,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05069,16,98,0.9948048471110039,2598.412986504054,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05071,16,98,0.9940846493644964,1736.3696142548777,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05073,16,98,0.9741676659547834,740.7583518976012,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05075,16,98,0.9936117993843957,1196.3859635930523,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05077,16,98,0.9759545979951038,804.0294285940315,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05079,16,98,0.9739330194368796,1271.657929649326,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05081,16,98,0.9752046678379883,1341.6184885109506,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05083,16,98,0.9729372874946346,1592.954686429526,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
